Nom de la commune,Population totale,Latitude,Longitude
Montreuil-des-Landes,239,48.2476357,-1.2241461
Montreuil-le-Gast,2 056,48.2468262,-1.7269551
Montreuil-sous-Pérouse,1 073,48.1510819,-1.2381136
Montreuil-sur-Ille,2 457,48.3064590,-1.6710597
Mordelles,7 783,48.0733304,-1.8485204
Mouazé,1 770,48.2323558,-1.6106784
Moulins,740,48.0030682,-1.3729482
Moussé,338,47.9244804,-1.2704183
Moutiers,936,47.9670665,-1.2136646
Muel,897,48.1275743,-2.1573255
La Noë-Blanche,1 032,47.8034377,-1.7407534
La Nouaye,358,48.1625529,-1.9795561
Nouvoitou,3 613,48.0414284,-1.5480640
Noyal-Châtillon-sur-Seiche,7 713,48.0425725,-1.6619865
Noyal-sous-Bazouges,380,48.4129746,-1.6255484
Noyal-sur-Vilaine,6 262,48.1140789,-1.5234735
Orgères,5 535,48.0031858,-1.6679484
Pacé,12 257,48.1465726,-1.7728997
Paimpont,1 824,48.0193594,-2.1735324
Pancé,1 208,47.8812040,-1.6597860
Parcé,650,48.2728516,-1.2008152
Parigné,1 346,48.4278782,-1.1933455
Parthenay-de-Bretagne,1 819,48.1928150,-1.8307019
Le Pertre,1 401,48.0349573,-1.0366391
Le Petit-Fougeray,903,47.9276912,-1.6083077
Pipriac,3 947,47.8088832,-1.9462224
Piré-Chancé,3 173,48.0145810,-1.4298582
Pléchâtel,2 817,47.8947671,-1.7496755
Pleine-Fougères,2 002,48.5336672,-1.5638065
Plélan-le-Grand,4 131,48.0023864,-2.1003629
Plerguer,2 884,48.5272074,-1.8461116
Plesder,792,48.4131974,-1.9240340
Pleugueneuc,2 055,48.3980709,-1.9033194
Pleumeleuc,3 581,48.1844169,-1.9191125
Pleurtuit,7 077,48.5815000,-2.0591200
Pocé-les-Bois,1 375,48.1148138,-1.2499442
Poilley,371,48.4657176,-1.2621380
Poligné,1 262,47.8871864,-1.6867712
Pont-Péan,4 442,48.0131094,-1.7023101
Les Portes du Coglais,2 301,48.4522606,-1.3344950
Princé,405,48.2167788,-1.0895169
Québriac,1 630,48.3438911,-1.8269880
Quédillac,1 272,48.2500916,-2.1423914
Rannée,1 104,47.9243620,-1.2405520
Redon,10 054,47.6510682,-2.0842143
Renac,1 059,47.7196296,-1.9755319
Rennes,229 178,48.1113387,-1.6800198
Retiers,4 632,47.9128732,-1.3818706
Le Rheu,9 771,48.1006715,-1.7937675
La Richardais,2 625,48.6068393,-2.0348424
Rimou,352,48.3990758,-1.5148721
Rives-du-Couesnon,2 961,48.2878106,-1.3372993
Romagné,2 498,48.3421592,-1.2754346
Romazy,271,48.3760497,-1.4976331
Romillé,4 196,48.2153539,-1.8924500
Roz-Landrieux,1 398,48.5435270,-1.8154250
Roz-sur-Couesnon,1 031,48.5884457,-1.5917533
Sains,466,48.5513314,-1.5845373
Saint-Armel,2 312,48.0141082,-1.5912374
Saint-Aubin-d'Aubigné,4 249,48.2630217,-1.6070770
Saint-Aubin-des-Landes,953,48.0941566,-1.2959963
Saint-Aubin-du-Cormier,4 293,48.2577823,-1.4024515
Saint-Benoît-des-Ondes,996,48.6204307,-1.8531685
Saint-Briac-sur-Mer,2 273,48.6183398,-2.1327847
Saint-Brieuc-des-Iffs,335,48.2915813,-1.8513140
Saint-Broladre,1 171,48.5873125,-1.6554080
Saint-Christophe-de-Valains,236,48.3425865,-1.4468697
